,Points Rank,Likelihood Rank,7 letter word,% Chance,Total Points
830,17,1,success,2.0132659200000013e-22,23
118,30,2,chachka,1.679616e-20,37
450,30,2,kachcha,1.679616e-20,37
228,21,3,divided,4.127824281600001e-20,27
205,20,4,decided,9.784472371200003e-20,26
917,13,5,winning,3.967185807359997e-19,19
222,10,6,discuss,7.549747200000005e-19,16
39,11,7,attract,7.9343716147199935e-19,17
473,29,8,kuchcha,9.216000000000004e-19,35
146,9,9,classes,2.264924160000001e-18,15
870,7,10,unusual,2.2649241600000013e-18,13
869,14,11,unknown,6.449725439999997e-18,20
364,8,12,illegal,7.644119040000003e-18,14
781,7,13,session,1.3589544960000006e-17,13
451,24,14,kajawah,1.5496819559999994e-17,30
251,11,15,essence,1.585084524134399e-17,17
578,21,16,odzooks,2.147483648000001e-17,27
187,24,17,coxcomb,2.6214400000000007e-17,30
581,11,18,ongoing,3.869835263999999e-17,17
655,15,18,prepare,3.869835263999999e-17,21
38,11,19,attempt,4.353564671999998e-17,17
435,23,20,joypops,5.242880000000001e-17,29
646,23,20,popjoys,5.242880000000001e-17,29
73,23,21,blowjob,5.2428800000000015e-17,29
350,23,21,hobjobs,5.2428800000000015e-17,29
748,12,22,reserve,5.349660268953597e-17,18
755,12,22,reverse,5.349660268953597e-17,18
119,21,23,chalaza,6.198727823999998e-17,27
686,21,23,qabalah,6.198727823999998e-17,27
107,24,24,carjack,6.298559999999999e-17,30
460,26,24,kibbitz,6.298559999999999e-17,32
766,8,25,running,6.530347007999996e-17,14
329,28,26,hamzahs,8.398080000000001e-17,34
963,26,27,zuffolo,1.0485760000000003e-16,32
421,23,28,jimminy,1.259712e-16,29
590,11,29,outlook,1.2884901888000005e-16,17
147,13,30,classic,1.3271040000000004e-16,19
834,13,31,suppose,1.5728640000000004e-16,19
688,26,32,qawwals,1.6796160000000003e-16,32
946,26,32,ziffius,1.6796160000000003e-16,32
499,17,33,loyalty,1.769472e-16,23
424,23,34,jipyapa,1.8895680000000003e-16,29
51,9,35,barrier,1.9591041023999987e-16,15
108,9,35,carrier,1.9591041023999987e-16,15
851,18,36,thought,1.9906560000000005e-16,24
154,13,37,collect,2.359296e-16,19
929,26,38,zaffars,2.519424e-16,32
133,21,39,checked,2.654208000000001e-16,27
838,7,40,surplus,3.145728000000001e-16,13
687,26,41,qawwali,3.779136e-16,32
597,18,42,pacific,3.7791360000000005e-16,24
414,25,43,jezebel,4.127824281599999e-16,31
283,21,44,fizgigs,4.251527999999999e-16,27
831,9,45,suggest,5.971968e-16,15
584,9,46,opinion,6.965703475199999e-16,15
588,8,47,outdoor,7.730941132800003e-16,14
629,21,48,pheezes,8.255648563199996e-16,27
628,22,48,pheezed,8.255648563199996e-16,28
908,22,48,wheezes,8.255648563199996e-16,28
909,22,48,wheezle,8.255648563199996e-16,28
906,23,48,wheezed,8.255648563199996e-16,29
819,25,48,squeeze,8.255648563199996e-16,31
173,13,49,contact,8.957952e-16,19
166,13,50,concern,1.1943936e-15,19
170,13,50,connect,1.1943936e-15,19
180,13,50,correct,1.1943936e-15,19
907,22,51,wheezer,1.2383472844799994e-15,28
145,13,52,circuit,1.5116543999999998e-15,19
330,12,53,hanging,1.7006111999999996e-15,18
153,21,54,cockshy,2.048e-15,27
445,20,55,jumbuck,2.0480000000000005e-15,26
447,26,55,jumpoff,2.0480000000000005e-15,32
829,14,56,succeed,2.1233664000000003e-15,20
531,13,57,minimal,2.2674816e-15,19
970,27,58,zymurgy,2.3039999999999996e-15,33
142,21,59,chyacks,2.304e-15,27
144,25,60,chymify,2.3040000000000008e-15,31
34,27,60,asphyxy,2.3040000000000008e-15,33
912,20,61,whether,2.3887872e-15,26
901,15,62,weekend,2.476694568959999e-15,21
261,16,62,expense,2.476694568959999e-15,22
423,20,63,jinxing,2.5509167999999994e-15,26
464,10,64,killing,3.0233087999999992e-15,16
461,24,65,kibbutz,3.4559999999999998e-15,30
265,16,66,extreme,3.715041853439998e-15,22
20,10,67,alcohol,3.7748736000000015e-15,16
288,21,68,flummox,4.096000000000001e-15,27
9,9,69,address,4.2467328e-15,15
365,5,70,illness,4.2467328000000006e-15,11
210,21,71,defuzed,4.246732800000001e-15,27
332,21,72,haycock,4.608e-15,27
381,21,72,jacchus,4.608e-15,27
143,23,72,chylify,4.608e-15,29
437,24,72,jubhahs,4.608e-15,30
636,23,73,pickoff,4.608000000000001e-15,29
820,27,73,squiffy,4.608000000000001e-15,33
436,21,74,jubbahs,4.6080000000000015e-15,27
814,23,74,squabby,4.6080000000000015e-15,29
855,8,75,totally,4.7775744e-15,14
208,13,76,defence,4.953389137919998e-15,19
370,7,77,initial,5.020969537439998e-15,13
502,23,78,maffick,5.1840000000000014e-15,29
53,20,79,bazooka,5.374771199999999e-15,26
319,11,80,gigabit,5.739562799999999e-15,17
367,11,80,imaging,5.739562799999999e-15,17
277,9,81,filling,6.0466175999999985e-15,15
916,9,81,willing,6.0466175999999985e-15,15
533,8,82,missing,6.046617599999999e-15,14
361,26,83,hydroxy,6.144e-15,32
579,17,84,offense,6.3700992e-15,23
264,14,85,express,6.370099200000001e-15,20
843,25,86,syzygal,6.9119999999999995e-15,31
98,24,87,cachexy,6.912e-15,30
357,26,87,hutzpah,6.912e-15,32
892,26,87,waxwork,6.912e-15,32
618,23,88,pemphix,6.912000000000001e-15,29
773,13,89,science,7.1663616e-15,19
66,12,90,between,7.430083706879996e-15,18
59,12,91,believe,7.430083706879997e-15,18
813,7,92,sponsor,7.5497472e-15,13
314,19,93,gazooka,8.062156799999999e-15,25
389,21,94,jaloppy,9.216e-15,27
557,21,94,myxomas,9.216e-15,27
297,25,95,foxfish,9.216000000000001e-15,31
416,21,96,jibbahs,1.0368000000000003e-14,27
232,22,96,djibbah,1.0368000000000003e-14,28
276,17,97,fifteen,1.0749542399999997e-14,23
410,21,98,jerquer,1.0749542399999999e-14,27
736,12,99,receive,1.1145125560319994e-14,18
610,8,100,passage,1.2093235199999997e-14,14
968,23,101,zymomes,1.2288e-14,29
83,22,102,bumbaze,1.3824e-14,28
893,24,102,waxworm,1.3824e-14,30
197,23,103,cyclize,1.3824000000000002e-14,29
244,9,104,element,1.486016741375999e-14,15
754,10,104,revenue,1.486016741375999e-14,16
763,5,105,rollout,1.5099494399999996e-14,11
345,22,106,highway,1.5552000000000003e-14,28
70,7,107,billion,1.6124313599999998e-14,13
529,7,107,million,1.6124313599999998e-14,13
534,7,107,mission,1.6124313599999998e-14,13
35,5,108,assault,1.61243136e-14,11
88,18,109,buzukis,1.8432e-14,24
425,21,109,jobbery,1.8432e-14,27
962,24,109,zuffoli,1.8432e-14,30
816,19,110,squawks,1.8432000000000006e-14,25
812,9,111,species,1.91102976e-14,15
71,9,112,binding,2.0407334399999995e-14,15
279,10,112,finding,2.0407334399999995e-14,16
136,18,113,chicken,2.0736e-14,24
940,23,113,zecchin,2.0736e-14,29
343,24,113,hexarch,2.0736e-14,30
948,22,114,zimocca,2.0736000000000006e-14,28
725,21,115,quopped,2.4576e-14,27
155,8,116,college,2.54803968e-14,14
243,9,116,elderly,2.54803968e-14,15
873,8,117,utility,2.7209779199999994e-14,14
395,17,118,janskys,2.7647999999999998e-14,23
832,14,119,summary,2.7648e-14,20
474,18,119,kumquat,2.7648e-14,24
716,21,119,quipped,2.7648e-14,27
692,25,119,quaffed,2.7648e-14,31
160,15,120,compact,2.7648000000000004e-14,21
523,8,121,message,2.86654464e-14,14
405,23,122,jeffing,3.1104e-14,29
931,24,123,zaffirs,3.110400000000001e-14,30
175,7,124,content,3.2248627199999996e-14,13
245,10,125,engaged,3.6279705599999994e-14,16
84,17,126,buqshas,3.6864e-14,23
815,18,126,squashy,3.6864e-14,24
821,18,126,squishy,3.6864e-14,24
465,17,127,killjoy,3.686400000000001e-14,23
65,8,128,besides,3.8220595199999994e-14,14
87,18,129,buzukia,4.1472e-14,24
693,24,129,quaffer,4.1472e-14,30
927,22,130,zaddick,4.147200000000001e-14,28
930,24,130,zaffers,4.147200000000001e-14,30
932,24,130,zaffres,4.147200000000001e-14,30
741,7,131,release,4.458050224127998e-14,13
218,12,132,devoted,5.0960793600000007e-14,18
599,21,133,packwax,5.248800000000001e-14,27
374,5,134,instant,5.441955839999999e-14,11
852,16,135,through,5.529599999999999e-14,22
29,18,136,anybody,5.5295999999999996e-14,24
555,17,137,mystery,5.5296e-14,23
158,14,138,command,5.529600000000001e-14,20
21,7,139,alleged,5.73308928e-14,13
792,6,140,sitting,6.122200319999998e-14,12
891,8,140,warrant,6.122200319999998e-14,14
32,8,141,arrival,6.12220032e-14,14
15,23,142,affixed,6.220799999999999e-14,29
470,22,143,kolhozy,6.5536e-14,28
496,18,144,lockbox,6.553600000000002e-14,24
806,22,144,sovkhoz,6.553600000000002e-14,28
833,11,145,support,7.3728e-14,17
168,12,145,conduct,7.3728e-14,18
625,14,146,perhaps,8.2944e-14,20
337,18,146,healthy,8.2944e-14,24
140,14,147,chronic,8.294400000000001e-14,20
654,13,148,premium,8.294400000000002e-14,19
928,20,148,zaddiks,8.294400000000002e-14,26
291,11,149,forever,8.599633919999999e-14,17
737,10,150,recover,8.59963392e-14,16
858,17,151,traffic,9.331199999999998e-14,23
246,10,152,enhance,9.674588159999996e-14,16
653,9,153,premier,9.674588159999998e-14,15
747,14,153,require,9.674588159999998e-14,20
340,11,154,helpful,9.830400000000002e-14,17
922,19,154,workbox,9.830400000000002e-14,25
600,17,155,packway,1.0497600000000002e-13,23
198,20,155,czapkas,1.0497600000000002e-13,26
382,20,155,jackdaw,1.0497600000000002e-13,26
397,20,155,jaywalk,1.0497600000000002e-13,26
183,11,156,council,1.10592e-13,17
647,11,156,popular,1.10592e-13,17
6,12,156,accused,1.10592e-13,18
165,13,156,concept,1.10592e-13,19
334,18,156,hazelly,1.10592e-13,24
159,13,157,comment,1.1059200000000002e-13,19
863,20,158,tzaddik,1.24416e-13,26
864,25,158,tzaddiq,1.24416e-13,31
191,11,159,crucial,1.2441600000000003e-13,17
787,18,160,showbox,1.31072e-13,24
296,18,161,fowlpox,1.3107200000000003e-13,24
771,19,161,schmooz,1.3107200000000003e-13,25
252,9,162,evening,1.4511882239999993e-13,15
678,11,163,purpose,1.47456e-13,17
569,19,163,nudzhed,1.47456e-13,25
385,18,164,jackman,1.5746399999999998e-13,24
505,18,164,manjack,1.5746399999999998e-13,24
951,22,165,zinkify,1.57464e-13,28
5,11,166,account,1.65888e-13,17
580,17,166,officer,1.65888e-13,23
839,15,167,survive,1.6588800000000002e-13,21
223,6,168,disease,1.7199267839999998e-13,12
31,6,169,arrange,1.8366600959999992e-13,12
684,17,170,pyjamas,2.0995200000000005e-13,23
639,18,170,pixyish,2.0995200000000005e-13,24
200,19,171,dazedly,2.2118400000000003e-13,25
30,12,172,applied,2.48832e-13,18
575,17,173,obloquy,2.6214400000000007e-13,23
318,6,174,genuine,2.9023764479999985e-13,12
848,8,174,theatre,2.9023764479999985e-13,14
840,7,175,suspect,2.94912e-13,13
415,17,176,jhatkas,3.1492799999999996e-13,23
606,17,176,panchax,3.1492799999999996e-13,23
347,17,177,hijinks,3.14928e-13,23
516,18,177,mazurka,3.14928e-13,24
476,19,177,kwanzas,3.14928e-13,25
949,20,177,zincify,3.14928e-13,26
167,11,178,concert,3.31776e-13,17
378,15,178,involve,3.31776e-13,21
939,20,178,zebecks,3.31776e-13,26
510,17,179,matzoth,3.732479999999999e-13,23
114,11,180,centric,3.73248e-13,17
805,7,181,someone,4.076863488e-13,13
699,17,182,quamash,4.199040000000001e-13,23
493,18,182,liquify,4.199040000000001e-13,24
322,6,183,greater,4.353564671999999e-13,12
799,8,184,skilled,4.42368e-13,14
959,18,184,zoogamy,4.42368e-13,24
960,22,184,zootaxy,4.42368e-13,28
635,12,185,picking,4.723919999999999e-13,18
456,17,185,khanjar,4.723919999999999e-13,23
886,19,185,vizying,4.723919999999999e-13,25
391,17,186,jambiya,4.72392e-13,23
41,9,187,average,4.897760255999999e-13,15
767,9,188,satisfy,4.97664e-13,15
752,5,189,restore,5.159780351999998e-13,11
469,11,190,knowing,5.598719999999999e-13,17
376,5,191,intense,5.804752895999999e-13,11
753,6,191,retired,5.804752895999999e-13,12
431,17,192,jookery,5.898239999999999e-13,23
665,7,193,process,5.89824e-13,13
76,17,193,boozily,5.89824e-13,23
645,17,193,polyzoa,5.89824e-13,23
921,18,193,woozily,5.89824e-13,24
50,10,194,banking,6.298559999999997e-13,16
335,17,195,hazmats,6.298559999999999e-13,23
508,17,195,matzahs,6.298559999999999e-13,23
712,18,195,quickie,6.298559999999999e-13,24
130,17,196,chazans,6.29856e-13,23
704,20,197,queechy,6.635520000000002e-13,26
100,6,198,calling,7.46496e-13,12
611,6,198,passing,7.46496e-13,12
659,10,199,primary,8.39808e-13,16
139,17,200,chorizo,8.847359999999999e-13,23
193,5,201,culture,8.84736e-13,11
36,6,201,assumed,8.84736e-13,12
355,10,201,hundred,8.84736e-13,16
598,12,202,package,9.447839999999998e-13,18
624,10,203,perform,9.953279999999998e-13,16
312,7,204,gallery,9.95328e-13,13
480,7,204,largely,9.95328e-13,13
507,8,204,massive,9.95328e-13,14
613,8,204,passive,9.95328e-13,14
900,11,204,wedding,9.95328e-13,17
468,18,204,klezmer,9.95328e-13,24
498,6,205,logical,9.953280000000002e-13,12
669,8,206,program,1.119744e-12,14
157,10,207,comfort,1.1796479999999998e-12,16
758,17,208,rhizopi,1.259712e-12,23
172,5,209,consist,1.3271040000000004e-12,11
135,17,209,cheques,1.3271040000000004e-12,23
333,17,210,hazanim,1.417176e-12,23
307,9,211,further,1.4929919999999996e-12,15
918,9,211,without,1.4929919999999996e-12,15
837,7,212,surgery,1.492992e-12,13
882,7,212,village,1.492992e-12,13
825,8,212,stretch,1.492992e-12,14
294,10,212,forward,1.492992e-12,16
177,12,212,context,1.492992e-12,18
67,23,212,bezique,1.492992e-12,29
804,11,213,somehow,1.572864e-12,17
489,8,214,library,1.6796159999999996e-12,14
85,6,215,burning,1.6796159999999998e-12,12
195,6,215,cutting,1.6796159999999998e-12,12
280,10,216,fishing,1.8895679999999996e-12,16
260,15,216,exhibit,1.8895679999999996e-12,21
627,17,216,pheazar,1.8895679999999996e-12,23
371,15,217,inquiry,1.889568e-12,21
247,17,218,enzymes,1.9906559999999996e-12,23
612,5,219,passion,1.990656e-12,11
281,6,219,fitness,1.990656e-12,12
919,6,219,witness,1.990656e-12,12
219,9,219,diamond,1.990656e-12,15
911,14,219,whereby,1.990656e-12,20
411,19,219,jerques,1.990656e-12,25
409,20,219,jerqued,1.990656e-12,26
12,10,220,advised,1.9906560000000004e-12,16
134,17,220,chequer,1.9906560000000004e-12,23
394,19,221,janizar,2.125764e-12,25
124,8,222,channel,2.239488e-12,14
577,8,223,obvious,2.359296e-12,14
241,10,223,economy,2.359296e-12,16
594,20,224,oxidize,2.5194239999999997e-12,26
101,9,225,capable,2.519424e-12,15
616,10,225,payable,2.519424e-12,16
4,11,225,academy,2.519424e-12,17
37,4,226,assured,2.654208e-12,10
592,6,226,overall,2.654208e-12,12
827,7,227,studied,2.6542080000000007e-12,13
259,13,227,exclude,2.6542080000000007e-12,19
935,20,228,zambuck,2.88e-12,26
549,23,228,muzjiks,2.88e-12,29
846,4,229,telling,2.9859839999999996e-12,10
487,5,229,liberal,2.9859839999999996e-12,11
80,8,229,brother,2.9859839999999996e-12,14
373,3,230,install,2.985984e-12,9
841,3,230,sustain,2.985984e-12,9
673,7,230,protect,2.985984e-12,13
256,14,230,example,2.985984e-12,20
60,17,230,bemazed,2.985984e-12,23
543,6,231,morning,3.359231999999999e-12,12
129,8,231,charter,3.359231999999999e-12,14
700,12,231,quarter,3.359231999999999e-12,18
570,4,232,nursing,3.3592319999999996e-12,10
564,7,232,nothing,3.3592319999999996e-12,13
620,7,232,pending,3.3592319999999996e-12,13
854,7,232,tonight,3.3592319999999996e-12,13
52,8,232,battery,3.3592319999999996e-12,14
889,7,233,wanting,3.779135999999999e-12,13
890,7,233,warning,3.779135999999999e-12,13
117,17,234,cerveza,4.478975999999999e-12,23
194,5,235,current,4.478976e-12,11
943,19,235,zeuxite,4.478976e-12,25
587,7,236,outcome,4.718592e-12,13
58,8,236,bedroom,4.718592e-12,14
860,4,237,turning,5.038847999999999e-12,10
479,5,237,landing,5.038847999999999e-12,11
278,8,237,finance,5.038847999999999e-12,14
885,8,238,visible,5.038848e-12,14
778,3,239,serious,5.308416e-12,9
902,10,240,welcome,5.3084160000000014e-12,16
313,10,241,gateway,5.668703999999997e-12,16
881,10,241,viewing,5.668703999999997e-12,16
372,7,242,insight,5.668703999999998e-12,13
235,8,242,driving,5.668703999999998e-12,14
102,7,243,capital,5.668704e-12,13
2,8,243,ability,5.668704e-12,14
728,9,243,railway,5.668704e-12,15
289,15,244,flyback,5.76e-12,21
331,15,244,hawbuck,5.76e-12,21
936,18,244,zambuks,5.76e-12,24
548,19,244,muzhiks,5.76e-12,25
713,19,244,quickly,5.76e-12,25
817,20,244,squawky,5.76e-12,26
171,5,245,consent,5.9719679999999985e-12,11
850,11,245,thereby,5.9719679999999985e-12,17
240,17,245,echoize,5.9719679999999985e-12,23
826,4,246,student,5.971968e-12,10
176,5,246,contest,5.971968e-12,11
675,5,246,protest,5.971968e-12,11
623,10,246,perfect,5.971968e-12,16
876,11,246,vehicle,5.971968e-12,17
455,10,247,keeping,6.718463999999998e-12,16
739,4,248,regular,6.718463999999999e-12,10
582,6,248,opening,6.718463999999999e-12,12
178,5,249,control,7.077888e-12,11
672,7,249,promote,7.077888e-12,13
518,6,250,meaning,7.558271999999999e-12,12
49,7,250,balance,7.558271999999999e-12,13
275,8,250,fiction,7.558271999999999e-12,14
10,9,250,advance,7.558271999999999e-12,15
209,9,250,deficit,7.558271999999999e-12,15
24,6,251,analyst,7.558272e-12,12
